iso3,ISI,ISI_prod,ISI_broad,ICI,ICI_long,ICI_basic,ICI_basic_full,ICI_coverage,ESI,ESI_alt,ESI_prod,ESI_dest,ECI,ECI_long,ECI_basic,ECI_basic_full,ECI_prod,ECI_coverage,CGI,CGI_long,CGI_basic,CGI_basic_full,CGI_coverage,SGI,SGI_long,SGI_basic,SGI_basic_full,SGI_coverage,ICI_upstream,ICI_downstream,CGI_upstream,CGI_downstream
AZE,0.43841198059532305,0.27880738798244237,0.13796530802902116,2.6866437170317285e-4,7.271389993541613e-4,6.319722079557034e-4,3.580877573035239e-4,0.461326022059724,0.006849663811193637,0.006575368548722824,0.040016456963240514,0.2559278944434782,1.947050367461388e-4,5.977628468869731e-4,4.685182940939785e-4,3.655813041444124e-4,1.862031414506212e-4,0.6623673709990711,0.004287829779011874,0.009651758308910578,0.020902044400118672,0.01650344819670016,0.7492415730759435,0.01206666024889882,0.040410645456019946,0.025128410135173383,0.022806511854996367,0.6698458279862494,1.1297358085167626e-4,0.0031881716820643274,0.0020506988206331254,0.005974669774499299
BDI,0.19883729014826038,0.1455166595845842,0.07866752587152162,0.004319192260831584,0.011824934806501975,0.010218852484787256,0.0019663104055906958,0.11508845601412185,0.002395706508513475,0.008384988112670513,0.03480921697274099,0.16454643321374052,5.109330614662298e-4,0.001326641122961786,0.0015494689726326663,7.49741875519243e-4,0.0010374522438938117,0.2336420144140321,0.0032365529224224134,0.007353931954981819,0.01645350242448807,0.011444464232248238,0.663265308027515,0.005818293705608515,0.010325829776743478,0.015007087755771295,0.004785794548205608,0.22919642209826893,4.942497599419979e-4,0.007883623864519957,0.0017722455035187293,0.005853481984650574
BEL,0.45536032801990045,0.2677158613476807,0.04342351035885948,0.0018701147008610341,0.00405521737021046,0.004461613348059297,0.0034619671718969887,0.7107172999132632,0.11644540318620888,0.18364777145464853,0.3127171548911601,0.4107290458728808,0.002996151522681248,0.006290627081815211,0.0073674696480716065,0.005666991900577002,0.005120585438637367,0.6790964009304312,0.001429527056158151,0.0028504655523674286,0.006097515273571043,0.004942018219791217,0.7595138095094266,0.0013541653365500136,0.003587182823546042,0.005580628577977331,0.00435578325693595,0.6950073645388741,0.0014388451045435119,0.0021294803819983847,7.637816238581188e-4,0.0015245617566781236
BEN,0.23692446224106267,0.17375397539762194,0.12125846038659747,0.003375058456844141,0.007410659567479306,0.00663760458438716,0.0010050207236276154,0.12514941657007042,0.0037115358416680323,0.006420808955514411,0.05018387691224552,0.18754570518362712,0.002108334990762733,0.003946750121302933,0.003287982412307836,0.0010379811506538428,0.0017921412173956743,0.24697320943008877,0.00399699615846111,0.008546168963035816,0.020793347039417518,0.01682089238405613,0.7837224875906065,0.001891997472396637,0.005325041964378729,0.003882387607782904,0.008478385560606462,0.4833637795525085,0.0016316671223536774,0.009729424394848949,0.002432575872374484,0.007263242438700336
BES,0,0.08797522390727411,0,0,0,0,0,0,0.0027998225848215484,0.023931973973301005,0.031241250257059882,0.07390461846103573,0.0014413933821094467,0.0025461435634797063,0.004200632736957236,6.002411749696713e-4,0.0024264214204887673,0.08999232061147369,0,0,0,0,0.199542828670409,0,0,0,0,0.05513542057358496,0,0,0,0
BFA,0.22855913710786457,0.1611093401073242,0.08347198416258304,0.0021052367878116748,0.0043678347794090105,0.00415078472132744,3.0455035295070523e-4,0.05696884582711615,0.0026860083627219676,0.008909434973052719,0.019869606495668993,0.11968584819636469,0.0015839554567618115,0.003079446753541504,0.0030304758185515676,2.9178533140005564e-4,0.0018732567029185628,0.08310105606550919,0.003141995238139525,0.006834956577260039,0.015463706148093299,0.010440937817000883,0.6525943483251956,2.0590731915505044e-4,5.175674217710811e-4,6.324891742281492e-4,0.012245282601100974,0.8091817470751077,0.0019303386005327682,0.00206798053044385,0.002107026862023957,0.004031047233344441
BGD,0.22325547276852423,0.1649078621778197,0.17601546172830745,0.015155696826674014,0.02318832509953039,0.046667169679323196,0.05051346077180358,0.6953278406862852,0.05141862183024374,0.07897399404018002,0.08189392677184293,0.4985146799855581,0.012844645269443454,0.018984722735115707,0.032725462693556306,0.03209499168615671,0.01719692167119129,0.9579484684787578,0.0038129698014941014,0.009295841597365595,0.018671026357324406,0.015129357345940399,0.7348985132561696,0.004372212293115858,0.010819755916147757,0.014965992309065822,0.014804012877867765,0.9467444606226021,0.02635684179279715,0.01490456101065141,0.00267461332526486,0.007959041330708938
BGR,0.41108958227565473,0.2963409563866363,0.05356409309773306,0.0035142986285967527,0.007197949338218847,0.009304695803005778,0.007361532872025485,0.755527366811766,0.09576557504838622,0.15588329075629262,0.29563567261355284,0.37332521355654125,0.004975989768785491,0.010001357163266276,0.011753504585630374,0.00953708119029522,0.008382662358188424,0.7418519782401115,0.0017381351922380172,0.0036867718428617107,0.007614124438621929,0.006422182851976799,0.8021605002750394,0.0013966774590030762,0.003977675881711062,0.0048203249572456005,0.0036654333432418295,0.7038332066810483,0.0024340158707476765,0.0051508007596127526,0.001083392218595313,0.002002332567267765
BHR,0.4541870783003617,0.2353215992240957,0.09659676339448181,0.004064477495025195,0.011560223482550244,0.010141258179857025,0.004196995546849108,0.39470996352736254,0.029716202869154176,0.05068770607997045,0.09552599899570487,0.4418066185225715,0.003558271148954092,0.010018050059619057,0.008278886562906164,0.0035295247014716924,0.003662802002815026,0.3877042712146364,0.0037339332955326197,0.007839113636792225,0.019353082103934785,0.013050551338325243,0.6315528554478235,0.002486380622214446,0.007873567892836945,0.007690326343741731,0.0043038295933885305,0.4478832357853427,0.0021544723594016596,0.011530775970916401,0.00179919237802103,0.004368536761349908
BHS,0.16483217459132624,0.15711815961817385,0.029759212282102796,0.001593597178838976,0.0020022426113660945,0.004465191589131412,6.140545512010952e-4,0.060289784487264055,0.002612070085779644,0.006477247536722527,0.02952609403825054,0.09876142668687352,0.0015619669868877412,0.003616991904037997,0.003559796583958984,2.297707564910258e-4,0.0023189404035325093,0.03396507630841966,0.00118340147190332,0.0026627733143102543,0.00585371865878542,0.0025136210543532356,0.38925889624241844,0.001513719334747751,0.0038681483615127655,0.004203619277432847,0.0026555472176804772,0.16580568273585947,6.596329289294444e-4,0.006256413900473805,0.001662032684001262,7.864107529391352e-4
